mz_rt,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.signif
181.0741_1.25,3558540.402173914,22537627.75,18979087.347826086,rel_abund,Control,Tomato,12,23,2.110126288335759,0.049,18.09061620014146,16793.816768491957,7100286.987579335,T-test,two.sided,*
185.1051_2.66,94404.53985507251,605240.5833333334,510836.04347826086,rel_abund,Control,Tomato,12,23,2.304544099416102,0.0298,25.008206938533434,10037.938164527106,178771.1415456179,T-test,two.sided,*
189.1003_3.47,25164.663043478256,147738.75,122574.08695652174,rel_abund,Control,Tomato,12,23,2.344071510653761,0.0301,19.074828725655056,2701.071945718245,47628.25414123826,T-test,two.sided,*
189.1113_1.01,184874.15579710147,429249.4166666667,244375.26086956522,rel_abund,Control,Tomato,12,23,3.7526896022575076,0.00201,14.584742251693237,79608.49061331313,290139.82098088984,T-test,two.sided,**
193.0397_2.71,2611.0942028985482,23198.833333333332,20587.739130434784,rel_abund,Control,Tomato,12,23,2.0759269274071914,0.0468,29.0965341292512,38.98161906612002,5183.206786730977,T-test,two.sided,*
201.1365_5.42,14200.17391304348,52226,38025.82608695652,rel_abund,Control,Tomato,12,23,3.8202211115508518,0.00151,16.011250426210896,6320.707240555631,22079.640585531328,T-test,two.sided,**
203.1308_8.37,23323.844202898545,86267.58333333333,62943.739130434784,rel_abund,Control,Tomato,12,23,5.016828353875016,8.78e-5,18.120351013202153,13561.050514877661,33086.637890919425,T-test,two.sided,****
208.0845_2.66,116348.58695652173,510801.5,394452.9130434783,rel_abund,Control,Tomato,12,23,2.141812350251837,0.0466,17.42487902144507,1950.65728775189,230746.51662529158,T-test,two.sided,*
2165.0352_5.08,12549.561594202904,50765.083333333336,38215.52173913043,rel_abund,Control,Tomato,12,23,2.3692401815557416,0.0259,24.755333095858752,1634.9801921536205,23464.142996252187,T-test,two.sided,*
218.168_8.37,11689.507246376816,49622.333333333336,37932.82608695652,rel_abund,Control,Tomato,12,23,4.685328114219515,2.12e-4,17.009828756359518,6425.9230625349755,16953.091430218654,T-test,two.sided,***
223.0336_3.67,-32452.605072463768,63335.916666666664,95788.52173913043,rel_abund,Control,Tomato,12,23,-2.301730221919928,0.028,32.04534005780173,-61170.186670696494,-3735.0234742310463,T-test,two.sided,*
226.9876_2.37,33344.260869565216,87589,54244.739130434784,rel_abund,Control,Tomato,12,23,3.072334174968912,0.00825,14.04902635786617,10074.357173170964,56614.16456595948,T-test,two.sided,**
238.1562_8.44,-7496.275362318844,27664.333333333332,35160.608695652176,rel_abund,Control,Tomato,12,23,-2.53153265640515,0.0171,28.68265518586534,-13555.441162848065,-1437.1095617896237,T-test,two.sided,*
239.095_2.76,-255237.5615942029,35777.916666666664,291015.47826086957,rel_abund,Control,Tomato,12,23,-15.369622505943651,1.32e-13,23.05158837500009,-289586.7297127875,-220888.39347561836,T-test,two.sided,****
239.1633_3.22,-773446.5217391305,0,773446.5217391305,rel_abund,Control,Tomato,12,23,-12.665457323253023,1.4e-11,22,-900092.5535372817,-646800.4899409794,T-test,two.sided,****
242.0804_4.53,18622.391304347824,68855,50232.608695652176,rel_abund,Control,Tomato,12,23,3.1115020303200227,0.00428,27.75964606553635,6357.856557406093,30886.92605128955,T-test,two.sided,**
244.2191_9.89,47841.010869565216,137091.75,89250.73913043478,rel_abund,Control,Tomato,12,23,2.3988211925102183,0.0277,17.65498716453391,5882.398039464626,89799.6236996658,T-test,two.sided,*
246.0504_0.55,411101.36594202905,826044.5833333334,414943.2173913043,rel_abund,Control,Tomato,12,23,2.7095810852274282,0.0155,15.97536183353761,89426.10101634337,732776.6308677146,T-test,two.sided,*
246.1266_4.26,-67267.21739130435,0,67267.21739130435,rel_abund,Control,Tomato,12,23,-16.874681760880517,4.49e-14,22,-75534.2574740438,-59000.17730856491,T-test,two.sided,****
250.07_2.79,203901.84782608692,965042.5,761140.6521739131,rel_abund,Control,Tomato,12,23,2.2083855248780035,0.0417,16.433487458989802,8588.224727413573,399215.4709247603,T-test,two.sided,*
253.0948_3.32,8586.333333333336,41177.333333333336,32591,rel_abund,Control,Tomato,12,23,2.427818681040262,0.0282,15.083694810679372,1051.7938643745572,16120.872802292111,T-test,two.sided,*
253.0986_4.59,6896.855072463768,46650.333333333336,39753.47826086957,rel_abund,Control,Tomato,12,23,2.311829521864425,0.0293,24.912080826288207,751.5571305207259,13042.153014406811,T-test,two.sided,*
253.1373_3.64,-99971.33333333333,104144.66666666667,204116,rel_abund,Control,Tomato,12,23,-3.2729968307512047,0.00276,28.870618202378644,-162453.56388407998,-37489.10278258667,T-test,two.sided,**
